event_id,ticker,company,industry,decision_date,buy_date,sell_date,exit_reason,event_fit,effective_stop_loss,target_weight,shares,buy_price,sell_price,gross_return,net_pnl,net_return_on_initial_cash,buy_cost,sell_cost,alpha_score
FIFA_WC_2022_OPEN,600158.SH,中体产业,体育运营,2022-09-21,2022-09-22,2022-11-11,event_exit,1.0,0.08,0.12,14200,8.44,10.9,0.2914691943127963,34497.5936,0.0344975936,155.8024,278.604,0.869547349475491
FIFA_WC_2022_OPEN,600060.SH,海信视像,显示设备,2022-09-21,2022-09-22,2022-11-11,event_exit,1.0,0.09068610854923051,0.09307040822350818,8300,11.12,13.55,0.2185251798561152,19846.5782,0.0198465782,119.9848,202.437,0.37296594460313653
FIFA_WC_2022_OPEN,605299.SH,舒华体育,体育消费,2022-09-21,2022-09-22,2022-11-11,event_exit,1.0,0.0871597082391548,0.08994161215956445,9900,9.05,12.38,0.3679558011049724,32417.757900000015,0.03241775790000002,206.0685,343.1736,0.3604277554866027
UEFA_EURO_2024_OPEN,600060.SH,海信视像,显示设备,2024-04-15,2024-04-16,2024-06-05,event_exit,0.8,0.10985167252112765,0.12,4500,26.44,28.59,0.08131618759455361,9288.747,0.009288747,154.674,231.579,1.1371830290218976
UEFA_EURO_2024_OPEN,600158.SH,中体产业,体育运营,2024-04-15,2024-04-16,2024-06-05,event_exit,0.8,0.09090830891422848,0.12,14600,8.2,9.04,0.102439024390244,11870.792800000014,0.011870792800000014,155.63599999999997,237.5712,0.8880810936333177
UEFA_EURO_2024_OPEN,605099.SH,共创草坪,体育设施,2024-04-15,2024-04-16,2024-06-05,event_exit,0.8,0.08,0.08632068563041873,4000,21.39,22.12,0.03412809724170174,2475.468,0.0024754679999999998,196.788,247.744,0.5573277536698156
