event_id,ticker,company,industry,decision_date,buy_date,sell_date,exit_reason,event_fit,effective_stop_loss,target_weight,shares,buy_price,sell_price,gross_return,net_pnl,net_return_on_initial_cash,buy_cost,sell_cost,alpha_score
FIFA_WC_2022_OPEN,600060.SH,海信视像,显示设备,2022-08-22,2022-08-23,2022-09-08,stop_loss,1.0,0.08,0.12,9200,12.93,11.8956,-0.07999999999999996,-9868.113935999996,-0.009868113935999996,154.6428,196.99113599999998,0.5140252066316131
FIFA_WC_2022_OPEN,002181.SZ,粤传媒,传媒彩票,2022-08-22,2022-08-23,2022-09-19,stop_loss,1.0,0.08,0.12,27200,4.41,4.0572,-0.08000000000000007,-10181.045952000004,-0.010181045952000005,275.8896,308.996352,0.3415399834120497
FIFA_WC_2022_OPEN,600158.SH,中体产业,体育运营,2022-08-22,2022-08-23,2022-11-11,event_exit,1.0,0.08,0.09937895387986961,12300,8.03,10.9,0.35740971357409723,34698.43530000001,0.03469843530000001,227.16869999999997,375.39599999999996,0.28283174002592737
UEFA_EURO_2024_OPEN,600060.SH,海信视像,显示设备,2024-03-15,2024-03-18,2024-06-05,event_exit,0.8,0.08,0.12,4900,24.21,28.59,0.1809169764560099,21055.6185,0.0210556185,154.2177,252.1638,0.722292242849588
UEFA_EURO_2024_OPEN,600158.SH,中体产业,体育运营,2024-03-15,2024-03-18,2024-06-05,event_exit,0.8,0.08,0.12,14400,8.28,9.04,0.09178743961352653,10554.6816,0.010554681599999999,155.00159999999997,234.31679999999997,0.5328293079722277
UEFA_EURO_2024_OPEN,605099.SH,共创草坪,体育设施,2024-03-15,2024-03-18,2024-06-05,event_exit,0.8,0.08,0.07008326937782976,3400,20.4,22.12,0.08431372549019622,5477.8895999999995,0.0054778896,159.528,210.5824,0.26662188844524654
PARIS_OLYMPICS_2024_OPEN,600060.SH,海信视像,显示设备,2024-04-26,2024-04-29,2024-06-27,stop_loss,0.55,0.08,0.12,4300,27.46,25.2632,-0.07999999999999996,-9795.27856799999,-0.00979527856799999,153.5014,195.537168,1.3753182667919748
PARIS_OLYMPICS_2024_OPEN,600158.SH,中体产业,体育运营,2024-04-26,2024-04-29,2024-06-19,stop_loss,0.55,0.08,0.12,13800,8.68,7.9856,-0.07999999999999996,-9936.801504000001,-0.009936801504000002,155.7192,198.362304,0.9586391006636185
PARIS_OLYMPICS_2024_OPEN,605099.SH,共创草坪,体育设施,2024-04-26,2024-04-29,2024-06-07,stop_loss,0.55,0.08,0.060146721356379655,2600,22.49,20.6908,-0.07999999999999996,-4963.039223999991,-0.004963039223999991,134.4902,150.62902400000002,0.4130602594104359
