ticker,sina_symbol,name,industry,exposure,attention,momentum,liquidity,low_volatility,z_exposure,z_attention,z_momentum,z_liquidity,z_low_volatility,event_id,decision_date,label
600060.SH,sh600060,海信视像,显示设备,0.82,-0.4593804723152779,-0.12955779674166024,18.531293861628395,-0.018137221709846107,1.8543417351003664,-0.482284098185423,-0.5849717054163354,0.5885448798235745,0.5565716710114647,FIFA_WC_2022_OPEN,2022-09-21,0.2410841494206022
002878.SZ,sz002878,元隆雅图,IP衍生品,0.76,-1.0420922329201048,-0.16529351184346042,18.46749431210423,-0.02100798641193368,1.3788694953310419,-1.4648731933114894,-0.9241939705046316,0.5098170113200721,0.1781001950793452,FIFA_WC_2022_OPEN,2022-09-21,0.16276897574113924
002181.SZ,sz002181,粤传媒,传媒彩票,0.68,0.24126842576404073,0.04367816091954024,19.060886227102074,-0.03341458212865211,0.7449065089719422,0.6991747521563911,1.059475419404522,1.2420554205786907,-1.4575415517991124,FIFA_WC_2022_OPEN,2022-09-21,0.0027351810182315583
605099.SH,sh605099,共创草坪,体育设施,0.58,-0.3882419065112366,-0.10634107916502555,17.360281110527463,-0.014950318585561877,-0.047547223976933416,-0.3623277428693637,-0.3645863709735795,-0.856470619066091,0.9767217196112126,FIFA_WC_2022_OPEN,2022-09-21,0.1619905859055173
605299.SH,sh605299,舒华体育,体育消费,0.54,0.3441728341162005,-0.04845360824742262,16.73104633025035,-0.017431941647830924,-0.3645287171564828,0.872695790040167,0.18491204955510165,-1.6329386883386265,0.6495533026381449,FIFA_WC_2022_OPEN,2022-09-21,0.3905147706694594
600158.SH,sh600158,中体产业,体育运营,0.62,0.14010536799042583,0.051980198019802026,18.7968511267671,-0.01290770039055601,0.2694342692026168,0.5285900409523681,1.138282736453454,0.9162393166325753,1.2460132858853508,FIFA_WC_2022_OPEN,2022-09-21,0.3140281638772833
000558.SZ,sz000558,莱茵体育,体育运营,0.5,0.7199419679013168,0.03703703703703698,18.033637662998967,-0.02050072062613422,-0.681510210336033,1.506330938846815,0.9964343670641072,-0.025556819292813504,0.24497632411276238,FIFA_WC_2022_OPEN,2022-09-21,0.17665733022022478
002858.SZ,sz002858,力盛体育,体育赛事,0.48,0.21391645829916328,0.032136105860113506,17.787028144035123,-0.031041247007250795,-0.8400009569258081,0.6530529012204571,0.9499121421655188,-0.3298699676692518,-1.1446494343695282,FIFA_WC_2022_OPEN,2022-09-21,0.7739660990203971
300651.SZ,sz300651,金陵体育,体育器材,0.46,-0.2621240116929222,-0.11203319502074705,16.828204804394893,-0.018695795834118532,-0.9984917035155828,-0.14966330647613427,-0.41861893834273173,-1.5130463123970823,0.48293123190576365,FIFA_WC_2022_OPEN,2022-09-21,0.2580474075069126
002587.SZ,sz002587,奥拓电子,显示设备,0.42,-1.2412476559830736,-0.28248587570621464,18.94676059534212,-0.03550152513101064,-1.315473196695133,-1.8006960823737879,-2.0366457294054254,1.1012257784089836,-1.7326767440753992,FIFA_WC_2022_OPEN,2022-09-21,0.2918659002575563
