event_id,ticker,company,industry,window,n_days,alpha,beta,car,mean_ar
FIFA_WC_2022_OPEN,600060.SH,海信视像,显示设备,T-60_T-10,32,1.9623460952720023e-05,1.1469670941133439,0.2589467918440769,0.008092087245127402
FIFA_WC_2022_OPEN,600060.SH,海信视像,显示设备,T-30_T-10,15,1.9623460952720023e-05,1.1469670941133439,0.15107440429503016,0.01007162695300201
FIFA_WC_2022_OPEN,600060.SH,海信视像,显示设备,T-10_T+10,15,1.9623460952720023e-05,1.1469670941133439,-0.013692244204704633,-0.0009128162803136422
FIFA_WC_2022_OPEN,002878.SZ,元隆雅图,IP衍生品,T-60_T-10,32,-0.0004802837945804123,0.7934807295752233,0.20898774943899967,0.00653086716996874
FIFA_WC_2022_OPEN,002878.SZ,元隆雅图,IP衍生品,T-30_T-10,15,-0.0004802837945804123,0.7934807295752233,0.17156439823474423,0.011437626548982949
FIFA_WC_2022_OPEN,002878.SZ,元隆雅图,IP衍生品,T-10_T+10,15,-0.0004802837945804123,0.7934807295752233,-0.09375542032242365,-0.0062503613548282435
FIFA_WC_2022_OPEN,002181.SZ,粤传媒,传媒彩票,T-60_T-10,32,0.0032570146079241922,0.87722655679592,-0.0505636785204232,-0.001580114953763225
FIFA_WC_2022_OPEN,002181.SZ,粤传媒,传媒彩票,T-30_T-10,15,0.0032570146079241922,0.87722655679592,0.056975095345184676,0.0037983396896789784
FIFA_WC_2022_OPEN,002181.SZ,粤传媒,传媒彩票,T-10_T+10,15,0.0032570146079241922,0.87722655679592,0.45798107098324214,0.03053207139888281
FIFA_WC_2022_OPEN,605099.SH,共创草坪,体育设施,T-60_T-10,32,-0.0008415746101383247,1.098218647625671,0.2478949571868252,0.007746717412088287
FIFA_WC_2022_OPEN,605099.SH,共创草坪,体育设施,T-30_T-10,15,-0.0008415746101383247,1.098218647625671,0.12427143858618474,0.008284762572412317
FIFA_WC_2022_OPEN,605099.SH,共创草坪,体育设施,T-10_T+10,15,-0.0008415746101383247,1.098218647625671,-0.08914700523024788,-0.0059431336820165255
FIFA_WC_2022_OPEN,605299.SH,舒华体育,体育消费,T-60_T-10,32,-0.0005983858170965505,1.1433237766143605,0.4675750684875352,0.014611720890235476
FIFA_WC_2022_OPEN,605299.SH,舒华体育,体育消费,T-30_T-10,15,-0.0005983858170965505,1.1433237766143605,0.3372271630039901,0.022481810866932673
FIFA_WC_2022_OPEN,605299.SH,舒华体育,体育消费,T-10_T+10,15,-0.0005983858170965505,1.1433237766143605,-0.18754879112637088,-0.012503252741758059
FIFA_WC_2022_OPEN,600158.SH,中体产业,体育运营,T-60_T-10,32,0.0019482267708461445,0.9577903273760839,0.2592785272967728,0.00810245397802415
FIFA_WC_2022_OPEN,600158.SH,中体产业,体育运营,T-30_T-10,15,0.0019482267708461445,0.9577903273760839,0.17720260860014628,0.011813507240009753
FIFA_WC_2022_OPEN,600158.SH,中体产业,体育运营,T-10_T+10,15,0.0019482267708461445,0.9577903273760839,-0.18167908787322118,-0.012111939191548078
FIFA_WC_2022_OPEN,000558.SZ,莱茵体育,体育运营,T-60_T-10,32,0.0011998973231582295,0.7407494796623838,0.19655577093588308,0.006142367841746346
FIFA_WC_2022_OPEN,000558.SZ,莱茵体育,体育运营,T-30_T-10,15,0.0011998973231582295,0.7407494796623838,0.07827654998877964,0.005218436665918643
FIFA_WC_2022_OPEN,000558.SZ,莱茵体育,体育运营,T-10_T+10,15,0.0011998973231582295,0.7407494796623838,-0.12864490288360428,-0.008576326858906951
FIFA_WC_2022_OPEN,002858.SZ,力盛体育,体育赛事,T-60_T-10,32,0.000958220541610934,1.0526956303290238,0.5290375805100588,0.016532424390939337
FIFA_WC_2022_OPEN,002858.SZ,力盛体育,体育赛事,T-30_T-10,15,0.000958220541610934,1.0526956303290238,0.3534593982529173,0.02356395988352782
FIFA_WC_2022_OPEN,002858.SZ,力盛体育,体育赛事,T-10_T+10,15,0.000958220541610934,1.0526956303290238,-0.28461619204094035,-0.018974412802729358
FIFA_WC_2022_OPEN,300651.SZ,金陵体育,体育器材,T-60_T-10,32,-0.002467159328475797,1.0043446321346006,0.35301538135870536,0.011031730667459543
FIFA_WC_2022_OPEN,300651.SZ,金陵体育,体育器材,T-30_T-10,15,-0.002467159328475797,1.0043446321346006,0.25010053575770996,0.016673369050513996
FIFA_WC_2022_OPEN,300651.SZ,金陵体育,体育器材,T-10_T+10,15,-0.002467159328475797,1.0043446321346006,-0.11336570477969309,-0.007557713651979539
FIFA_WC_2022_OPEN,002587.SZ,奥拓电子,显示设备,T-60_T-10,32,0.003310706134475804,0.7698235537190968,0.1836197067031673,0.005738115834473978
FIFA_WC_2022_OPEN,002587.SZ,奥拓电子,显示设备,T-30_T-10,15,0.003310706134475804,0.7698235537190968,0.1387521974703609,0.00925014649802406
FIFA_WC_2022_OPEN,002587.SZ,奥拓电子,显示设备,T-10_T+10,15,0.003310706134475804,0.7698235537190968,-0.21067017392223722,-0.014044678261482481
UEFA_EURO_2024_OPEN,600060.SH,海信视像,显示设备,T-60_T-10,34,0.001953330513641129,0.9113904810231604,0.0032225456873607346,9.478075551060984e-05
UEFA_EURO_2024_OPEN,600060.SH,海信视像,显示设备,T-30_T-10,15,0.001953330513641129,0.9113904810231604,-0.01143940763261466,-0.000762627175507644
UEFA_EURO_2024_OPEN,600060.SH,海信视像,显示设备,T-10_T+10,14,0.001953330513641129,0.9113904810231604,-0.02900356356138932,-0.0020716831115278086
UEFA_EURO_2024_OPEN,002878.SZ,元隆雅图,IP衍生品,T-60_T-10,34,-0.006159470887798605,1.1448313382228308,0.17495342435061162,0.005145688951488577
UEFA_EURO_2024_OPEN,002878.SZ,元隆雅图,IP衍生品,T-30_T-10,15,-0.006159470887798605,1.1448313382228308,0.028388722190667633,0.0018925814793778423
UEFA_EURO_2024_OPEN,002878.SZ,元隆雅图,IP衍生品,T-10_T+10,14,-0.006159470887798605,1.1448313382228308,0.005295413777504053,0.0003782438412502895
UEFA_EURO_2024_OPEN,002181.SZ,粤传媒,传媒彩票,T-60_T-10,34,-0.004384271072127446,0.5314534140330505,0.034797674430942074,0.0010234610126747669
UEFA_EURO_2024_OPEN,002181.SZ,粤传媒,传媒彩票,T-30_T-10,15,-0.004384271072127446,0.5314534140330505,0.004749740091059093,0.00031664933940393953
UEFA_EURO_2024_OPEN,002181.SZ,粤传媒,传媒彩票,T-10_T+10,14,-0.004384271072127446,0.5314534140330505,-0.09456879029765763,-0.006754913592689831
UEFA_EURO_2024_OPEN,605099.SH,共创草坪,体育设施,T-60_T-10,34,0.0002238254213090056,0.9724393358088748,-0.025287655372415313,-0.000743754569776921
UEFA_EURO_2024_OPEN,605099.SH,共创草坪,体育设施,T-30_T-10,15,0.0002238254213090056,0.9724393358088748,-0.11153888023222762,-0.007435925348815175
UEFA_EURO_2024_OPEN,605099.SH,共创草坪,体育设施,T-10_T+10,14,0.0002238254213090056,0.9724393358088748,-0.1427915413400311,-0.010199395810002222
UEFA_EURO_2024_OPEN,605299.SH,舒华体育,体育消费,T-60_T-10,34,-0.0010607151330574393,1.2398187913025946,-0.19158734079395656,-0.005634921788057546
UEFA_EURO_2024_OPEN,605299.SH,舒华体育,体育消费,T-30_T-10,15,-0.0010607151330574393,1.2398187913025946,-0.07187242027287885,-0.00479149468485859
UEFA_EURO_2024_OPEN,605299.SH,舒华体育,体育消费,T-10_T+10,14,-0.0010607151330574393,1.2398187913025946,-0.05014138851466402,-0.00358152775104743
UEFA_EURO_2024_OPEN,600158.SH,中体产业,体育运营,T-60_T-10,34,-0.001259435948122204,1.3940220468280793,0.09908472476154381,0.0029142566106336414
UEFA_EURO_2024_OPEN,600158.SH,中体产业,体育运营,T-30_T-10,15,-0.001259435948122204,1.3940220468280793,0.02092506076210835,0.0013950040508072235
UEFA_EURO_2024_OPEN,600158.SH,中体产业,体育运营,T-10_T+10,14,-0.001259435948122204,1.3940220468280793,-0.13848260683298,-0.009891614773784285
UEFA_EURO_2024_OPEN,000558.SZ,莱茵体育,体育运营,T-60_T-10,34,-0.0038772463949813428,0.7003060174480329,0.01880147455407082,0.0005529845457079652
UEFA_EURO_2024_OPEN,000558.SZ,莱茵体育,体育运营,T-30_T-10,15,-0.0038772463949813428,0.7003060174480329,0.015612785596906754,0.001040852373127117
UEFA_EURO_2024_OPEN,000558.SZ,莱茵体育,体育运营,T-10_T+10,14,-0.0038772463949813428,0.7003060174480329,0.0008383444900710788,5.988174929079134e-05
UEFA_EURO_2024_OPEN,002858.SZ,力盛体育,体育赛事,T-60_T-10,34,-0.008627143021615262,1.7708857328776342,0.14777443847207183,0.004346307013884465
UEFA_EURO_2024_OPEN,002858.SZ,力盛体育,体育赛事,T-30_T-10,15,-0.008627143021615262,1.7708857328776342,0.06157712711678871,0.004105141807785914
UEFA_EURO_2024_OPEN,002858.SZ,力盛体育,体育赛事,T-10_T+10,14,-0.008627143021615262,1.7708857328776342,0.060859315894957855,0.00434709399249699
UEFA_EURO_2024_OPEN,300651.SZ,金陵体育,体育器材,T-60_T-10,34,-0.0054494393180799594,0.9739511597413893,0.07398808784601801,0.0021761202307652356
UEFA_EURO_2024_OPEN,300651.SZ,金陵体育,体育器材,T-30_T-10,15,-0.0054494393180799594,0.9739511597413893,-0.014386305944759946,-0.0009590870629839963
UEFA_EURO_2024_OPEN,300651.SZ,金陵体育,体育器材,T-10_T+10,14,-0.0054494393180799594,0.9739511597413893,-0.04615609637364773,-0.0032968640266891236
UEFA_EURO_2024_OPEN,002587.SZ,奥拓电子,显示设备,T-60_T-10,34,-0.0035892815603499667,1.5076926889674123,-0.01755021434421622,-0.0005161827748298888
UEFA_EURO_2024_OPEN,002587.SZ,奥拓电子,显示设备,T-30_T-10,15,-0.0035892815603499667,1.5076926889674123,0.047702626874836423,0.003180175124989095
UEFA_EURO_2024_OPEN,002587.SZ,奥拓电子,显示设备,T-10_T+10,14,-0.0035892815603499667,1.5076926889674123,0.04394293567063244,0.0031387811193308887
PARIS_OLYMPICS_2024_OPEN,600060.SH,海信视像,显示设备,T-60_T-10,36,0.0024106958336123055,0.8116642092587283,-0.2622849370425241,-0.007285692695625669
PARIS_OLYMPICS_2024_OPEN,600060.SH,海信视像,显示设备,T-30_T-10,15,0.0024106958336123055,0.8116642092587283,-0.2470977936228594,-0.01647318624152396
PARIS_OLYMPICS_2024_OPEN,600060.SH,海信视像,显示设备,T-10_T+10,15,0.0024106958336123055,0.8116642092587283,-0.28213826082104165,-0.018809217388069444
PARIS_OLYMPICS_2024_OPEN,002878.SZ,元隆雅图,IP衍生品,T-60_T-10,36,-0.002374305889462064,1.0862956307328466,-0.08053043757706549,-0.0022369565993629304
PARIS_OLYMPICS_2024_OPEN,002878.SZ,元隆雅图,IP衍生品,T-30_T-10,15,-0.002374305889462064,1.0862956307328466,-0.0447062091120885,-0.0029804139408059
PARIS_OLYMPICS_2024_OPEN,002878.SZ,元隆雅图,IP衍生品,T-10_T+10,15,-0.002374305889462064,1.0862956307328466,-0.01482974043666257,-0.0009886493624441713
PARIS_OLYMPICS_2024_OPEN,002181.SZ,粤传媒,传媒彩票,T-60_T-10,36,-0.002166412194740559,0.5403880541388125,-0.10651865903070913,-0.0029588516397419202
PARIS_OLYMPICS_2024_OPEN,002181.SZ,粤传媒,传媒彩票,T-30_T-10,15,-0.002166412194740559,0.5403880541388125,0.01782512959171731,0.001188341972781154
PARIS_OLYMPICS_2024_OPEN,002181.SZ,粤传媒,传媒彩票,T-10_T+10,15,-0.002166412194740559,0.5403880541388125,0.07449429119574387,0.004966286079716258
PARIS_OLYMPICS_2024_OPEN,605099.SH,共创草坪,体育设施,T-60_T-10,36,0.00040147914927638015,1.3547703170919367,-0.1898987941180773,-0.005274966503279925
PARIS_OLYMPICS_2024_OPEN,605099.SH,共创草坪,体育设施,T-30_T-10,15,0.00040147914927638015,1.3547703170919367,-0.053392929446094015,-0.003559528629739601
PARIS_OLYMPICS_2024_OPEN,605099.SH,共创草坪,体育设施,T-10_T+10,15,0.00040147914927638015,1.3547703170919367,-0.027857268778423736,-0.0018571512518949158
PARIS_OLYMPICS_2024_OPEN,605299.SH,舒华体育,体育消费,T-60_T-10,36,-0.000361777568180096,1.1798329086760095,-0.05088278769792995,-0.001413410769386943
PARIS_OLYMPICS_2024_OPEN,605299.SH,舒华体育,体育消费,T-30_T-10,15,-0.000361777568180096,1.1798329086760095,0.010089652106306937,0.0006726434737537957
PARIS_OLYMPICS_2024_OPEN,605299.SH,舒华体育,体育消费,T-10_T+10,15,-0.000361777568180096,1.1798329086760095,0.009763137613526908,0.0006508758409017938
PARIS_OLYMPICS_2024_OPEN,600158.SH,中体产业,体育运营,T-60_T-10,36,0.00018815188328382115,1.3463100951686944,-0.1427677925964702,-0.003965772016568617
PARIS_OLYMPICS_2024_OPEN,600158.SH,中体产业,体育运营,T-30_T-10,15,0.00018815188328382115,1.3463100951686944,-0.011595466534078568,-0.0007730311022719046
PARIS_OLYMPICS_2024_OPEN,600158.SH,中体产业,体育运营,T-10_T+10,15,0.00018815188328382115,1.3463100951686944,0.02309169401216871,0.001539446267477914
PARIS_OLYMPICS_2024_OPEN,000558.SZ,莱茵体育,体育运营,T-60_T-10,36,-0.0024858654241338434,0.77348325701523,-0.03434307956324933,-0.0009539744323124813
PARIS_OLYMPICS_2024_OPEN,000558.SZ,莱茵体育,体育运营,T-30_T-10,15,-0.0024858654241338434,0.77348325701523,0.026571157614989314,0.0017714105076659544
PARIS_OLYMPICS_2024_OPEN,000558.SZ,莱茵体育,体育运营,T-10_T+10,15,-0.0024858654241338434,0.77348325701523,0.20514989543923967,0.013676659695949311
