validation_num_trades,validation_net_return,validation_gross_return_mean,validation_win_rate,validation_total_cost,validation_cost_to_initial_cash,validation_avg_target_weight,full_num_trades,full_net_return,full_gross_return_mean,full_win_rate,full_total_cost,full_cost_to_initial_cash,full_avg_target_weight,full_stop_loss_rate,attention_lookback,momentum_lookback,entry_days_before_event,exit_days_before_event,top_k,stop_loss,stop_vol_multiplier,max_effective_stop_loss,min_exposure_for_trade,min_event_fit_for_trade,rankic_prior_weight,attention_z_cap,selection_score
3.0,0.02301614080000001,0.07262776974216645,1.0,1112.8591999999999,0.0011128592,0.10158160802740261,6.0,0.11039693750000001,0.1826389140833972,1.0,2530.0625,0.0025300625,0.1048887843355819,0.0,20,20,60,10,3,0.08,5.0,0.12,0.45,0.7,0.55,1.0,0.05294169547
3.0,0.02301614080000001,0.07262776974216645,1.0,1112.8591999999999,0.0011128592,0.10158160802740261,6.0,0.11039693750000001,0.1826389140833972,1.0,2530.0625,0.0025300625,0.1048887843355819,0.0,20,20,60,10,3,0.08,5.0,0.12,0.5,0.7,0.55,1.0,0.05294169547
3.0,0.02301614080000001,0.07262776974216645,1.0,1112.8591999999999,0.0011128592,0.10158160802740261,6.0,0.11039693750000001,0.1826389140833972,1.0,2530.0625,0.0025300625,0.1048887843355819,0.0,20,20,60,10,3,0.1,4.0,0.12,0.45,0.7,0.55,1.0,0.05294169547
3.0,0.02301614080000001,0.07262776974216645,1.0,1112.8591999999999,0.0011128592,0.10158160802740261,6.0,0.11039693750000001,0.1826389140833972,1.0,2530.0625,0.0025300625,0.1048887843355819,0.0,20,20,60,10,3,0.1,4.0,0.12,0.5,0.7,0.55,1.0,0.05294169547
3.0,0.02301614080000001,0.07262776974216645,1.0,1112.8591999999999,0.0011128592,0.10158160802740261,6.0,0.11039693750000001,0.1826389140833972,1.0,2530.0625,0.0025300625,0.1048887843355819,0.0,20,20,60,10,3,0.1,5.0,0.12,0.45,0.7,0.55,1.0,0.05294169547
3.0,0.02301614080000001,0.07262776974216645,1.0,1112.8591999999999,0.0011128592,0.10158160802740261,6.0,0.11039693750000001,0.1826389140833972,1.0,2530.0625,0.0025300625,0.1048887843355819,0.0,20,20,60,10,3,0.1,5.0,0.12,0.5,0.7,0.55,1.0,0.05294169547
3.0,0.02301614080000001,0.07262776974216645,1.0,1112.8591999999999,0.0011128592,0.10158160802740261,6.0,0.11039693750000001,0.1826389140833972,1.0,2530.0625,0.0025300625,0.1048887843355819,0.0,20,20,60,10,5,0.08,5.0,0.12,0.5,0.7,0.55,1.0,0.05294169547
3.0,0.02301614080000001,0.07262776974216645,1.0,1112.8591999999999,0.0011128592,0.10158160802740261,6.0,0.11039693750000001,0.1826389140833972,1.0,2530.0625,0.0025300625,0.1048887843355819,0.0,20,20,60,10,5,0.1,4.0,0.12,0.5,0.7,0.55,1.0,0.05294169547
3.0,0.02301614080000001,0.07262776974216645,1.0,1112.8591999999999,0.0011128592,0.10158160802740261,6.0,0.11039693750000001,0.1826389140833972,1.0,2530.0625,0.0025300625,0.1048887843355819,0.0,20,20,60,10,5,0.1,5.0,0.12,0.5,0.7,0.55,1.0,0.05294169547
3.0,0.024191988100000013,0.07262776974216645,1.0,1324.0119,0.0013240119,0.11499669443934858,6.0,0.10678593250000001,0.1826389140833972,1.0,2549.0675,0.0025490675,0.10590988697960661,0.0,10,20,60,10,3,0.08,5.0,0.12,0.45,0.7,0.55,1.0,0.05238650554000001
