date,open,high,low,close,volume,sina_symbol,amount
2020-03-17,5707.416,5756.201,5436.6,5642.919,20715772400,sh000852,116897425675635.6
2020-03-18,5702.173,5804.301,5556.108,5556.108,20511482900,sh000852,113964014232553.2
2020-03-19,5552.509,5641.038,5453.039,5617.195,19081576100,sh000852,107184933861039.5
2020-03-20,5676.967,5688.947,5574.617,5670.471,17274400000,sh000852,97953984242400.0
2020-03-23,5514.926,5575.531,5398.951,5416.571,17033839300,sh000852,92264999971040.3
2020-03-24,5522.178,5535.933,5344.418,5517.255,17545230600,sh000852,96801511254003.0
2020-03-25,5632.408,5652.434,5589.956,5646.625,18211481100,sh000852,102833404466287.5
2020-03-26,5606.635,5666.126,5582.93,5595.433,16599923400,sh000852,92883759189832.2
2020-03-27,5659.59,5665.623,5550.535,5553.612,15439184200,sh000852,85743238643330.4
2020-03-30,5472.148,5472.148,5362.797,5415.411,15955046300,sh000852,86403133238529.3
2020-03-31,5465.372,5479.021,5414.306,5427.132,14180952400,sh000852,76961900560516.8
2020-04-01,5413.546,5491.469,5391.545,5403.303,14726358200,sh000852,79570975441134.6
2020-04-02,5376.659,5538.604,5367.565,5538.604,14593875900,sh000852,80829699435243.61
2020-04-03,5525.775,5558.379,5482.056,5507.119,14057768900,sh000852,77417806206799.1
2020-04-07,5605.271,5697.76,5599.816,5695.169,17892414200,sh000852,101900322686999.8
2020-04-08,5673.343,5739.301,5661.954,5718.128,18330136700,sh000852,104814067908097.6
2020-04-09,5750.887,5802.651,5740.031,5789.265,18252476100,sh000852,105668421049066.5
2020-04-10,5787.544,5787.544,5619.704,5637.532,19147239800,sh000852,107943177084173.61
2020-04-13,5590.319,5613.412,5542.572,5578.856,13932857200,sh000852,77729403987363.2
2020-04-14,5605.906,5692.001,5599.908,5692.001,14234415900,sh000852,81022309537215.9
2020-04-15,5689.735,5720.423,5655.222,5657.948,16440192700,sh000852,93017755406579.61
2020-04-16,5626.845,5711.716,5617.054,5700.96,15629419700,sh000852,89102696532912.0
