date,open,high,low,close,volume,sina_symbol,amount
2020-03-17,3739.783,3786.891,3618.307,3709.682,16624612900,sh000300,61672027232097.8
2020-03-18,3729.685,3775.851,3636.257,3636.257,15503754700,sh000300,56375636554157.9
2020-03-19,3623.789,3647.987,3503.187,3589.093,18080740700,sh000300,64893459881185.09
2020-03-20,3629.513,3663.952,3588.777,3653.224,13960300000,sh000300,51000103007200.0
2020-03-23,3542.684,3585.801,3523.788,3530.306,13710879000,sh000300,48403598398974.0
2020-03-24,3598.655,3627.759,3545.452,3625.115,14310302100,sh000300,51876490797241.5
2020-03-25,3711.475,3732.654,3685.994,3722.518,15349595800,sh000300,57139146658224.4
2020-03-26,3692.608,3736.254,3681.267,3698.047,11231066500,sh000300,41533011777125.5
2020-03-27,3746.391,3758.783,3709.921,3710.061,12406099500,sh000300,46027385917069.5
2020-03-30,3657.462,3690.639,3637.585,3674.111,12687667300,sh000300,46615897991270.3
2020-03-31,3708.14,3716.071,3676.202,3686.155,11145302500,sh000300,41083312536887.5
2020-04-01,3682.297,3731.78,3670.965,3675.076,11935262000,sh000300,43862994929912.0
2020-04-02,3656.323,3734.531,3652.317,3734.531,11516820900,sh000300,43009924672497.9
2020-04-03,3721.482,3738.832,3698.982,3713.218,9982508300,sh000300,37067229504709.4
2020-04-07,3779.908,3803.629,3772.205,3798.021,14277803000,sh000300,54227395627863.0
2020-04-08,3776.417,3793.002,3767.292,3780.345,11138951300,sh000300,42109078852198.5
2020-04-09,3798.488,3801.725,3785.312,3792.811,10048503200,sh000300,38112073470495.2
2020-04-10,3794.843,3824.744,3758.96,3769.178,10244495600,sh000300,38613327436616.8
2020-04-13,3751.709,3769.876,3740.194,3753.257,7905334300,sh000300,29670751298815.1
2020-04-14,3777.834,3825.76,3764.984,3825.699,11063758500,sh000300,42326609829691.5
2020-04-15,3820.851,3829.801,3793.44,3797.362,10846198400,sh000300,41186941648620.805
2020-04-16,3777.799,3807.357,3774.559,3802.381,9594796500,sh000300,36483071910466.5
2020-04-17,3831.923,3863.452,3821.42,3839.487,13200430100,sh000300,50682879763358.7
2020-04-20,3845.46,3853.798,3831.553,3853.455,10001311500,sh000300,38539603806232.5
