date,open,high,low,close,volume,sina_symbol,amount
2020-03-17,27.0,27.17,25.25,25.7,2251990,sz300651,57876143.0
2020-03-18,25.98,27.0,25.54,25.84,2083650,sz300651,53841516.0
2020-03-19,25.58,26.0,24.77,25.67,1750060,sz300651,44924040.2
2020-03-20,25.85,26.45,25.44,26.4,1455715,sz300651,38430876.0
2020-03-23,26.1,26.1,24.4,24.6,1717340,sz300651,42246564.0
2020-03-24,25.1,25.18,24.12,24.69,1177150,sz300651,29063833.5
2020-03-25,24.89,25.28,24.6,24.88,868650,sz300651,21612012.0
2020-03-26,24.7,26.0,24.7,25.62,1697720,sz300651,43495586.4
2020-03-27,25.99,26.24,25.34,25.36,804700,sz300651,20407192.0
2020-03-30,24.91,25.3,24.5,25.0,506516,sz300651,12662900.0
2020-03-31,25.05,25.38,25.0,25.08,362110,sz300651,9081718.799999999
2020-04-01,25.07,25.33,24.78,24.8,448670,sz300651,11127016.0
2020-04-02,24.8,24.94,24.4,24.75,627250,sz300651,15524437.5
2020-04-03,24.74,26.08,24.7,25.81,1339150,sz300651,34563461.5
2020-04-07,25.82,27.48,25.82,26.75,2345040,sz300651,62729820.0
2020-04-08,26.83,27.8,26.46,27.06,2227470,sz300651,60275338.199999996
2020-04-09,27.3,27.36,26.82,27.06,1056920,sz300651,28600255.2
2020-04-10,27.07,27.48,26.33,26.55,1104120,sz300651,29314386.0
2020-04-13,26.34,26.88,25.9,25.9,869900,sz300651,22530410.0
2020-04-14,25.92,26.18,25.74,25.92,854560,sz300651,22150195.200000003
2020-04-15,25.89,26.8,25.89,26.26,958690,sz300651,25175199.400000002
2020-04-16,26.18,26.72,25.84,26.26,729900,sz300651,19167174.0
2020-04-17,26.01,26.54,26.01,26.15,739980,sz300651,19350477.0
2020-04-20,26.2,26.85,25.96,26.76,1215780,sz300651,32534272.8
2020-04-21,26.8,27.37,26.23,26.6,796240,sz300651,21179984.0
2020-04-22,26.42,27.1,26.08,26.98,843600,sz300651,22760328.0
2020-04-23,26.9,27.22,26.6,26.62,961790,sz300651,25602849.8
2020-04-24,26.42,27.5,26.16,26.96,2055190,sz300651,55407922.4
2020-04-27,26.86,27.01,25.8,25.91,1374117,sz300651,35603371.47
