date,open,high,low,close,volume,sina_symbol,amount
2020-03-17,6.87,6.95,6.52,6.78,10249605,sz002587,69492321.9
2020-03-18,6.89,6.94,6.6,6.61,11209574,sz002587,74095284.14
2020-03-19,6.63,6.81,6.55,6.77,9107603,sz002587,61658472.309999995
2020-03-20,6.84,6.93,6.74,6.89,9255850,sz002587,63772806.5
2020-03-23,6.71,6.8,6.55,6.55,8268600,sz002587,54159330.0
2020-03-24,6.7,6.73,6.42,6.67,8015436,sz002587,53462958.12
2020-03-25,6.81,6.87,6.74,6.83,10395250,sz002587,70999557.5
2020-03-26,6.79,6.79,6.6,6.63,7898251,sz002587,52365404.13
2020-03-27,6.73,6.86,6.64,6.68,8477000,sz002587,56626360.0
2020-03-30,6.63,6.64,6.28,6.41,9431950,sz002587,60458799.5
2020-03-31,6.48,6.5,6.28,6.31,5569022,sz002587,35140528.82
2020-04-01,6.29,6.42,6.25,6.29,6660622,sz002587,41895312.38
2020-04-02,6.25,6.55,6.22,6.54,8448550,sz002587,55253517.0
2020-04-03,6.53,6.59,6.43,6.48,7388100,sz002587,47874888.0
2020-04-07,6.63,6.83,6.63,6.78,10016127,sz002587,67909341.06
2020-04-08,6.78,7.46,6.7,7.46,13770145,sz002587,102725281.7
2020-04-09,7.68,7.78,7.21,7.22,33174365,sz002587,239518915.29999998
2020-04-10,7.08,7.42,7.01,7.08,18470485,sz002587,130771033.8
2020-04-13,6.93,7.0,6.77,6.87,12447340,sz002587,85513225.8
2020-04-14,6.95,7.01,6.88,6.94,12736634,sz002587,88392239.96000001
2020-04-15,6.73,6.82,6.54,6.56,18707727,sz002587,122722689.11999999
2020-04-16,6.5,6.75,6.46,6.7,14223814,sz002587,95299553.8
2020-04-17,6.67,6.75,6.56,6.56,10830782,sz002587,71049929.92
2020-04-20,6.54,6.74,6.5,6.69,12516585,sz002587,83735953.65
2020-04-21,6.64,6.64,6.5,6.56,9556383,sz002587,62689872.48
2020-04-22,6.48,6.69,6.44,6.63,9617495,sz002587,63763991.85
2020-04-23,6.64,6.82,6.5,6.73,17599120,sz002587,118442077.60000001
2020-04-24,6.65,6.67,6.47,6.53,12388205,sz002587,80894978.65
2020-04-27,6.47,6.52,6.34,6.37,7229910,sz002587,46054526.7
2020-04-28,6.4,6.4,5.99,6.17,7900549,sz002587,48746387.33
2020-04-29,6.02,6.18,5.9,5.93,10910264,sz002587,64697865.519999996
2020-04-30,5.99,6.11,5.99,6.09,7377597,sz002587,44929565.73
2020-05-06,6.06,6.2,6.02,6.2,6704908,sz002587,41570429.6
2020-05-07,6.22,6.25,6.09,6.09,6178245,sz002587,37625512.05
2020-05-08,6.13,6.24,6.11,6.11,8436747,sz002587,51548524.17
2020-05-11,6.2,6.2,6.05,6.08,7871069,sz002587,47856099.52
2020-05-12,6.07,6.08,5.93,6.03,5403244,sz002587,32581561.32
2020-05-13,6.0,6.12,5.97,6.1,3973744,sz002587,24239838.4
2020-05-14,6.04,6.1,6.01,6.02,4331149,sz002587,26073516.979999997
2020-05-15,6.08,6.12,6.0,6.06,5667930,sz002587,34347655.8
2020-05-18,6.03,6.04,5.92,5.97,5197179,sz002587,31027158.63
2020-05-19,5.99,6.04,5.93,5.95,4361499,sz002587,25950919.05
