指标,数值,单位,解读
走步验证净收益率,2.3016,%,用前一事件训练权重，后一事件验证
交易笔数,3,笔,2024欧洲杯三个入选标的
单笔平均毛收益率,7.2628,%,验证样本仍为正，但样本数有限
胜率,100.0,%,不能过度外推，结项需继续积累模拟盘
交易成本,1112.86,元,扣除交易成本后仍为正收益
