事件,交易笔数,净收益贡献(元),净收益贡献(%),平均毛收益率(%),交易成本(元),止损笔数
2022世界杯,3,86761.93,8.6762,29.265,1306.07,0
2024欧洲杯,3,23635.01,2.3635,7.2628,1223.99,0
