指标,数值,单位,解读
回测净收益率,11.0397,%,扣除佣金、印花税、滑点后的策略收益
交易笔数,6,笔,进入真实交易规则后的成交记录
单笔平均毛收益率,18.2639,%,未扣成本的平均价格涨幅
胜率,100.0,%,当前回测样本较少，不单独作为最终有效性证据
总交易成本,2530.06,元,佣金、印花税和滑点估计
成本/初始资金,0.253,%,策略频率低，成本侵蚀可控
