因子,系统字段,权重(%),金融含义
低波动,low_volatility,40.6875,控制事件交易中不必要的下行波动
注意力,attention,25.75,成交额冲击代表关注度升温
事件暴露,exposure,16.5,公司业务与体育事件产业链的相关性
动量,momentum,11.5625,捕捉反应不足后的趋势延续
流动性,liquidity,5.5,保证组合能在真实市场成交
